,P(C),P(area_in_C),median_household_income,per_capita_income,population_density,P(income_10k_to_15k|house_in_C),P(income_15k_to_25k|house_in_C),P(income_25k_plus|house_in_C),P(income_less_than_10k|house_in_C),P(poverty|C),P(hispanic|C),P(nativity_native|C),P(labor_16_plus_employed|C),P(labor_16_plus_unemployed|C),P(labor_16_plus_armed_forces|C),P(labor_16_plus_not_in_force|C),P(white_total|C),P(black_total|C),P(asian_total|C),P(aian_total|C),P(nhpi_total|C),P(other_total|C),P(multi_total|C),P(male_age_low_edu_low|C),P(female_age_low_edu_low|C),P(male_age_low_edu_mid|C),P(female_age_low_edu_mid|C),P(male_age_low_edu_high|C),P(female_age_low_edu_high|C),P(male_age_low_edu_very_high|C),P(female_age_low_edu_very_high|C),P(male_age_mid_edu_low|C),P(female_age_mid_edu_low|C),P(male_age_mid_edu_mid|C),P(female_age_mid_edu_mid|C),P(male_age_mid_edu_high|C),P(female_age_mid_edu_high|C),P(male_age_mid_edu_very_high|C),P(female_age_mid_edu_very_high|C),P(male_age_high_edu_low|C),P(female_age_high_edu_low|C),P(male_age_high_edu_mid|C),P(female_age_high_edu_mid|C),P(male_age_high_edu_high|C),P(female_age_high_edu_high|C),P(male_age_high_edu_very_high|C),P(female_age_high_edu_very_high|C),P(marital_divorced|C),P(marital_single|C),P(marital_married|C),P(marital_separated|C),P(marital_widowed|C),racial_diversity,P(democrat_voter|C),P(republican_voter|C),P(other_voter|C),P(non_voter|C),log_odds_dem_rep
P(hispanic|C),1.69,0.68,-0.61,0.4,0.74,-2.46,-0.14,-1.61,-5.43,1.69,0.0,0.02,0.21,5.71,0.15,0.3,0.47,0.58,0.54,0.33,0.73,0.09,0.29,0.66,0.77,0.22,0.32,0.88,1.37,1.17,2.24,0.09,-0.91,-4.35,-9.38,0.19,0.53,0.43,1.36,0.47,0.65,-8.77,-6.24,-0.2,0.43,0.0,-0.04,1.61,1.1,0.71,1.13,0.34,0.36,-1.69,1.1,0.26,0.5,12.85
P(nativity_native|C),0.25,0.37,0.01,0.2,0.2,-0.13,0.22,-0.06,-0.23,-1.63,0.05,0.0,0.64,2.18,-0.15,0.46,0.58,0.52,0.34,0.08,0.48,0.08,0.39,-0.28,0.39,-0.01,-0.31,0.7,0.9,0.76,0.96,0.65,0.12,7.18,3.86,0.46,0.66,0.44,0.64,0.47,0.6,3.2,2.26,0.21,0.74,0.24,0.38,1.31,0.74,0.62,0.74,0.19,0.43,2.91,0.74,0.13,0.25,1.64
P(labor_16_plus_employed|C),-0.38,8.24,-0.03,-0.01,0.29,0.08,0.12,-0.07,-0.16,-0.08,0.83,0.4,0.0,-0.28,-0.37,-0.05,-1.11,-1.02,0.63,11.58,0.37,2.25,1.67,0.03,0.09,-1.18,1.38,0.21,0.17,0.66,0.68,0.02,-0.01,-1.66,-1.72,0.21,0.22,0.54,0.93,0.14,0.01,-30.12,-2.33,0.39,0.2,0.57,2.08,-0.15,-3.14,-0.69,-0.26,0.3,-1.39,0.99,-1.6,-0.27,-0.23,2.69
P(labor_16_plus_unemployed|C),1.07,-39.96,0.2,-0.16,1.29,0.36,0.24,0.06,0.01,0.0,7.58,2.57,-0.17,0.0,-1.21,-0.38,0.17,0.03,0.34,-2.88,0.44,1.81,0.59,0.26,0.27,1.52,0.29,-0.82,-0.86,2.19,0.07,-0.08,0.08,-0.65,-0.83,-0.27,-0.33,1.2,-1.63,-0.29,-0.35,-0.47,-0.6,0.17,-0.43,1.3,-0.93,-0.65,0.18,0.18,0.12,-1.43,0.16,0.15,0.08,-0.1,0.07,0.17
P(labor_16_plus_armed_forces|C),-3.37,8.87,-0.74,-2.63,-47.24,-0.17,-0.31,-0.28,-0.19,0.01,-0.74,-2.04,0.72,-3.67,0.0,0.08,-0.18,-0.51,-0.23,2.42,0.39,-0.21,0.3,-1.06,-0.66,0.5,0.57,-0.23,-0.25,-0.33,-0.41,0.92,1.14,-6.92,-15.63,-0.02,-0.04,-0.27,-0.41,0.54,0.75,-1.35,-1.56,0.92,0.92,-0.04,-0.52,-6.02,-0.47,-0.4,-0.59,-0.01,-0.15,-0.86,-0.47,-6.11,-0.02,-0.61
P(labor_16_plus_not_in_force|C),-0.17,-5.68,-0.07,-0.12,-0.56,0.11,0.1,-0.02,-0.06,-0.05,0.42,0.03,-0.05,-0.06,-0.3,0.0,-4.15,-1.55,0.58,-0.57,0.68,0.65,0.88,-0.22,-0.29,0.35,0.06,0.2,0.18,0.55,0.53,0.03,-0.04,-3.64,-4.37,0.24,0.23,0.54,0.88,0.26,0.17,1.58,2.91,0.66,0.04,0.78,-1.68,-0.04,-33.14,-1.4,-0.4,0.3,-20.47,1.06,18.69,-0.38,-0.86,2.04
P(white_total|C),1.15,6.69,-1.49,-1.54,1.39,-0.86,-1.68,-0.8,-0.47,-0.37,2.04,1.57,-0.91,0.08,-0.26,-2.14,-0.0,-0.01,0.81,0.01,0.91,0.37,0.4,-0.24,0.06,0.42,0.11,17.96,9.54,2.61,2.6,-1.12,-0.43,0.48,0.39,-3.6,-8.69,6.38,2.2,3.03,-5.22,0.52,0.09,-2.71,-3.19,-7.74,0.73,5.77,0.11,-0.02,-0.05,0.91,-0.0,0.68,0.31,-0.31,0.15,0.57
P(black_total|C),-0.4,0.14,-0.13,-0.58,1.75,-0.27,-0.19,-0.21,-0.07,-0.14,-0.18,-8.3,-0.64,0.14,-0.49,-0.96,-0.16,0.0,0.51,0.05,-0.35,0.19,0.93,-0.46,-0.11,-0.31,-0.18,79.91,9.49,1.28,0.93,-0.66,-0.34,0.01,-0.2,-1.69,-2.12,7.9,1.16,-2.64,-0.71,0.01,-0.21,-0.57,-0.88,-0.8,0.35,-3.48,-0.05,-0.08,-0.09,0.25,-0.05,0.58,-0.02,-0.14,-0.46,0.25
P(asian_total|C),-0.14,1.27,0.22,0.17,-0.17,0.27,0.45,0.37,0.65,0.4,0.8,0.17,0.4,-0.05,-0.57,0.15,1.18,-3.3,0.0,0.09,0.3,0.57,0.48,1.48,2.89,0.02,-0.38,0.48,0.52,0.44,0.43,0.62,0.39,3.67,3.26,0.49,0.57,0.29,0.3,0.56,0.67,1.1,0.4,0.62,1.04,0.23,0.3,2.59,0.47,0.46,-7.02,0.22,0.59,0.54,0.61,-0.47,1.39,0.62
P(aian_total|C),0.11,-0.24,0.18,-0.05,0.64,0.36,1.31,0.2,-0.03,-0.33,-0.95,0.27,0.17,-0.87,-1.48,-8.08,-0.72,0.08,0.6,0.0,1.01,0.69,0.25,4.32,9.54,1.48,3.17,-2.13,-3.23,3.65,0.69,-0.85,-1.13,-0.02,0.04,-1.72,-1.76,-2.38,2.95,1.1,0.52,-0.22,-0.08,-0.71,-0.79,-1.18,-9.9,0.37,-5.2,10.48,-1.27,1.05,0.07,1.92,2.36,0.25,2.76,-0.34
P(nhpi_total|C),-0.43,0.01,0.24,-0.17,-5.98,0.62,0.68,0.62,0.9,0.93,-0.18,-0.27,-0.28,-5.21,1.26,0.2,0.77,1.83,-0.07,-0.75,0.0,0.78,0.74,3.41,2.99,0.86,1.03,0.5,0.54,0.22,0.19,0.57,0.16,-0.0,-0.3,0.38,0.4,0.1,-0.16,1.0,1.11,1.93,-3.47,0.81,1.21,0.17,-0.13,-11.77,0.56,0.76,3.2,0.47,0.67,0.06,0.76,0.83,1.64,0.69
P(other_total|C),1.66,1.11,0.15,8.99,0.85,-1.09,0.74,-0.21,-0.78,2.34,0.07,0.14,0.97,6.09,-2.27,0.32,1.15,-1.21,1.04,-0.62,-0.11,-0.0,0.48,0.4,0.62,0.25,0.25,1.23,1.62,1.11,1.58,1.21,-1.59,4.15,2.93,0.71,1.59,0.63,1.29,0.75,1.13,3.13,1.86,-0.06,1.57,0.13,0.07,2.1,0.82,0.53,0.62,0.44,0.29,-3.59,0.83,-0.18,0.43,3.21
P(multi_total|C),-0.11,0.35,0.68,0.76,-0.28,0.88,1.36,0.93,0.83,5.74,0.1,0.14,97.69,-0.19,0.92,0.82,0.69,0.22,0.43,-0.44,0.68,0.39,0.0,0.37,0.47,0.46,0.36,0.69,0.77,0.68,0.75,0.79,0.6,-0.64,-1.04,0.36,0.38,0.25,0.23,0.92,0.97,-2.66,-1.47,0.14,0.79,0.23,0.14,-2.25,1.18,0.67,-0.18,0.48,0.31,3.75,0.94,1.75,0.24,1.92
P(male_age_low_edu_low|C),-5.36,59.1,0.44,0.17,-1.53,0.49,0.59,0.28,0.14,0.62,0.89,0.13,0.05,0.5,-0.02,-0.23,-0.3,-0.39,0.28,1.3,1.43,0.89,0.63,0.0,0.57,3.33,1.75,0.03,-0.01,0.59,0.84,0.2,0.39,-0.69,-0.78,0.25,0.23,0.6,1.07,-0.28,-0.33,-0.66,-0.61,0.45,0.21,0.64,1.67,-0.19,-0.41,0.04,0.2,-4.37,-0.26,0.87,-0.18,-0.21,0.22,8.84
P(female_age_low_edu_low|C),10.22,16.39,0.44,0.27,6.97,0.55,0.55,0.31,0.23,0.39,0.9,0.52,0.25,0.27,2.65,-0.02,0.09,-0.0,-0.14,-0.13,1.85,1.06,-0.63,0.98,0.0,4.4,1.43,-0.21,-0.31,0.26,0.47,0.26,0.33,-0.39,-0.52,0.18,0.17,0.51,1.32,-0.71,-0.54,-0.29,-0.43,0.36,0.18,0.65,1.7,-0.33,0.28,0.35,0.36,72.54,0.06,0.52,0.19,-0.08,0.33,-4.01
P(male_age_low_edu_mid|C),0.57,1.45,-2.31,-12.89,-7.56,-0.75,-0.92,-0.97,-1.35,-3.57,0.68,-0.51,-3.29,1.16,0.41,0.76,0.68,-0.04,-0.39,1.56,1.29,0.5,0.71,1.23,9.75,0.0,0.96,0.11,0.05,-0.03,-0.31,-0.34,-1.03,0.82,3.73,-1.13,-1.63,-0.73,-2.43,0.4,0.57,-0.16,-1.08,3.97,1.84,-12.26,-22.41,1.81,0.19,0.79,3.55,0.38,0.34,251.95,0.42,1736.59,0.84,0.28
P(female_age_low_edu_mid|C),0.37,2.19,4.95,2.17,45.13,-42.65,27.92,4.23,1.32,1.35,1.05,-2.84,1.89,0.37,0.64,-0.06,0.15,0.5,-4.81,0.75,0.95,0.49,0.41,5.42,1.96,1.22,0.0,-0.99,-0.07,-1.38,-3.87,1.79,0.84,17.51,7.34,1.04,1.05,5.98,6.96,0.55,4.95,-1.1,-1.2,0.79,0.72,1.51,3.13,1.47,0.04,0.58,0.49,0.34,0.1,2.03,0.09,-0.25,0.51,-2.4
P(male_age_low_edu_high|C),-0.14,-10.68,-0.06,0.17,0.55,-0.05,0.1,-0.13,-0.38,-0.32,0.85,0.34,0.27,-0.62,-1.02,0.09,-58.44,-2.23,0.17,0.53,-0.26,1.82,0.37,0.27,0.08,-0.5,-6.1,0.0,0.31,0.59,0.51,0.19,-0.0,-50.04,15.72,0.32,0.36,0.44,0.59,0.31,0.23,1.8,3.23,0.48,0.59,0.41,0.89,0.46,1.38,19.12,-0.49,0.26,4.02,0.95,2.58,-0.42,-0.65,1.21
P(female_age_low_edu_high|C),-0.2,3.63,-0.14,0.11,0.62,-0.11,0.03,-0.2,-0.44,-0.38,-12.15,0.47,0.17,-0.73,-1.16,0.03,24.13,-3.74,0.15,0.58,-0.3,3.43,0.37,0.13,-0.12,-0.48,16.53,0.24,0.0,0.55,0.61,0.15,-0.03,-37.77,73.46,0.32,0.34,0.45,0.53,0.3,0.26,1.86,3.45,0.37,0.51,0.37,0.77,0.38,1.54,-176.27,-0.57,0.29,3.73,0.79,3.5,-0.52,-0.7,1.15
P(male_age_low_edu_very_high|C),-0.4,2.7,0.11,0.42,0.36,0.06,0.26,0.01,-0.4,-0.06,1.32,0.2,0.64,-0.16,-1.5,0.26,2.67,5.97,0.02,0.34,-0.92,1.13,0.19,0.67,0.42,-1.45,93.22,0.39,0.36,-0.0,0.46,0.55,0.35,2.1,1.78,0.69,0.81,0.51,0.58,0.55,0.58,1.08,0.78,1.01,1.52,0.55,0.77,1.24,0.85,1.15,-0.47,0.28,1.69,1.02,1.12,-0.26,-0.3,1.01
P(female_age_low_edu_very_high|C),-0.46,1.12,0.07,0.37,0.4,0.07,0.23,0.0,-0.36,0.01,-1.33,0.26,0.56,-0.74,-1.73,0.18,2.37,2.52,-0.02,0.32,-1.39,2.46,0.13,0.81,0.57,-2.01,14.33,0.34,0.37,0.25,0.0,0.69,0.49,1.25,1.41,0.77,0.84,0.51,0.48,0.51,0.64,0.75,0.53,1.38,1.95,0.54,0.72,1.51,0.8,0.93,-0.47,0.26,1.77,0.82,1.09,-0.18,-0.02,0.83
P(male_age_mid_edu_low|C),-0.77,-1.13,0.2,0.11,-1.48,0.36,0.4,0.18,0.09,0.16,-2.25,-0.15,0.05,-0.02,0.21,0.07,-0.74,-0.4,0.23,-4.08,0.61,-2.73,0.66,0.23,0.36,0.1,3.64,0.12,0.04,0.31,0.37,0.0,0.22,-0.86,-0.91,0.22,0.23,0.51,0.9,0.29,0.18,-1.39,-0.67,0.47,0.27,0.61,1.42,-0.13,-3.28,-0.36,-0.0,0.37,-1.71,0.8,-2.06,-0.16,-0.09,1.52
P(female_age_mid_edu_low|C),-2.12,-1.57,0.16,0.08,-10.37,0.35,0.33,0.17,0.14,0.17,12.67,-1.25,0.07,0.11,0.15,0.1,-0.25,-0.19,-0.1,-20.71,0.55,11.97,0.76,0.69,0.39,-0.47,1.06,-0.05,-0.11,0.14,0.22,0.26,0.0,-0.52,-0.52,0.16,0.15,0.44,0.87,0.15,0.02,-0.7,-0.37,0.49,0.21,0.61,1.42,-0.26,-0.94,0.09,0.15,0.14,-0.65,0.46,-0.59,-0.07,0.17,0.42
P(male_age_mid_edu_mid|C),1.15,-0.38,-1.43,-1.69,2.43,-0.57,-1.15,-0.59,-0.28,-0.29,1.97,1.91,-1.61,-0.69,-1.56,-6.29,0.42,-0.0,1.37,2.53,1.07,2.3,0.3,-0.64,-0.25,1.46,-6.36,5.29,6.98,1.49,1.31,-0.84,-0.46,0.0,0.3,-1.0,-1.08,-2.81,15.31,-3.79,-1.55,0.3,0.2,-0.42,-0.84,-0.9,-4.28,2.31,0.25,-0.12,0.03,2.74,0.54,-9.04,0.13,-0.2,-0.22,1.2
P(female_age_mid_edu_mid|C),1.63,-0.49,-2.26,-1.8,2.48,-0.66,-1.78,-0.73,-0.36,-0.33,1.42,1.69,-1.7,-0.94,-1.15,-5.34,0.44,-0.44,1.71,6.67,0.26,1.91,-0.25,-0.65,-0.33,-8.95,-28.14,3.36,5.01,1.49,1.48,-0.9,-0.48,0.34,0.0,-0.85,-0.89,-1.74,-5.04,-11.84,-2.33,0.25,0.2,-0.35,-0.7,-0.77,-1.29,2.81,0.15,-0.22,-0.07,0.7,0.45,-2.23,0.14,-0.33,-0.21,1.91
P(male_age_mid_edu_high|C),-0.67,-2.62,0.22,0.1,-0.82,0.43,0.41,0.27,0.25,0.3,2.61,0.04,0.21,0.14,2.77,0.28,-1.07,-0.39,0.18,0.89,-0.21,3.58,0.16,0.55,0.52,-13.78,1.4,0.12,0.08,0.29,0.28,0.3,0.31,-1.1,-0.94,-0.0,0.2,0.42,0.55,0.3,0.16,-1.31,-0.67,0.25,0.24,0.31,0.55,0.24,-23.29,-0.54,-0.11,0.27,-23.83,0.65,-1.97,-0.28,-0.19,1.18
P(female_age_mid_edu_high|C),-0.68,-3.47,0.26,0.14,-0.57,0.45,0.44,0.28,0.23,0.32,1.29,0.25,0.22,0.12,2.28,0.27,-1.97,-0.7,0.25,5.54,-0.08,1.24,0.15,0.52,0.52,1531.51,1.31,0.13,0.09,0.37,0.37,0.31,0.31,-1.19,-1.03,0.19,0.0,0.4,0.72,0.31,0.15,-1.45,-0.68,0.26,0.23,0.34,0.64,0.06,7.85,-0.64,-0.17,0.31,17.5,0.52,-2.42,-0.34,-0.2,0.82
P(male_age_mid_edu_very_high|C),-0.73,-7.67,0.24,0.24,-0.21,0.37,0.43,0.31,0.35,0.48,19.45,-0.01,0.49,2.44,-1.18,0.41,-4.76,-0.48,-0.01,0.41,-0.66,-1.17,-0.11,0.81,0.86,-4.15,3.26,0.16,0.12,0.16,0.17,0.49,0.51,-71.43,-7.24,0.3,0.29,0.0,0.3,0.39,0.36,-7.8,-0.96,0.39,0.58,0.28,0.41,2.28,0.98,-1.81,0.15,0.05,2.16,0.55,1.97,-0.11,-0.0,0.6
P(female_age_mid_edu_very_high|C),-0.93,5.77,0.39,0.37,0.16,0.53,0.57,0.49,0.63,0.9,1.2,0.01,0.68,-33.69,-7.23,0.52,5.86,-2.25,-0.07,0.52,-1.33,1.64,-0.35,0.99,1.36,53.93,3.54,0.28,0.2,0.31,0.27,0.74,0.79,11.16,-21.5,0.32,0.42,0.19,0.0,0.42,0.52,1.86,-0.62,0.63,0.98,0.4,0.46,29.47,0.65,0.37,1.2,-0.07,1.43,0.6,0.86,0.2,0.4,0.46
P(male_age_high_edu_low|C),0.31,0.7,0.13,0.17,-0.6,0.33,0.33,0.24,0.29,0.06,0.67,0.19,0.23,0.02,0.15,0.35,-22.97,-0.48,0.37,-1.34,0.48,0.8,1.11,0.32,-0.35,0.52,0.47,0.19,0.14,0.23,0.18,0.44,0.32,-5.5,-75.45,0.38,0.39,0.3,0.3,0.0,0.38,1.71,1.38,0.56,0.66,0.37,0.67,0.36,0.87,1.82,-0.21,0.39,2.04,0.87,1.66,0.04,-4.13,1.36
P(female_age_high_edu_low|C),0.49,0.1,0.1,0.09,-0.65,0.27,0.28,0.15,0.14,-0.08,0.66,0.3,0.12,-0.12,0.04,0.31,-1.92,-0.36,0.51,-0.9,0.6,0.89,1.07,0.15,-0.37,0.81,2.5,0.18,0.14,0.28,0.25,0.31,0.14,-1.52,-2.51,0.25,0.25,0.3,0.37,0.46,0.0,4.2,-3.65,0.38,0.2,0.31,0.7,0.29,1.65,-1.98,-0.28,0.38,138.86,0.43,3.16,-0.17,-1.51,1.25
P(male_age_high_edu_mid|C),0.74,-0.44,2.09,-3.16,1.55,-6.91,1.92,-2.54,-0.5,-0.44,5.45,1.7,9.87,-0.46,-0.69,1.23,0.49,0.07,0.89,-14.4,0.96,3.37,-1.28,-0.64,-0.17,0.03,-0.71,1.2,1.23,0.89,0.68,-1.37,-0.75,0.28,0.22,-1.59,-1.7,5.48,2.04,1.63,3.78,0.0,0.2,-0.14,-0.41,-0.21,-0.23,1.67,0.08,-0.13,0.03,0.66,0.58,0.7,0.1,-0.33,-0.07,0.41
P(female_age_high_edu_mid|C),0.6,-0.36,1.88,-1.34,1.6,130.5,1.71,-1.55,-0.48,-0.44,2.54,1.38,-2.84,-0.59,-0.56,2.48,0.25,-0.1,0.7,-8.69,-3.34,2.78,-0.94,-0.52,-0.23,-0.45,-0.75,1.78,1.88,0.81,0.6,-0.75,-0.42,0.21,0.18,-0.81,-0.77,28.82,1.18,1.38,-4.51,0.26,0.0,0.05,-0.12,0.19,0.91,3.86,-0.11,-0.29,-0.12,0.22,0.08,0.5,-0.11,-0.23,-0.12,0.2
P(male_age_high_edu_high|C),-1.33,-0.86,0.43,0.12,-47.0,0.57,0.6,0.4,0.41,0.45,-6.67,-0.49,-0.07,0.45,0.07,1.94,0.07,0.28,0.45,-0.07,0.2,9.66,-0.11,0.46,0.49,2.04,0.79,-0.14,-0.36,0.36,0.44,0.3,0.44,-0.32,-0.25,0.09,0.09,0.12,0.19,0.2,0.06,0.15,0.3,0.0,0.27,0.42,0.5,1.63,-0.86,-0.07,0.43,0.19,19.82,0.62,-0.65,-0.05,-0.06,2.11
P(female_age_high_edu_high|C),-0.11,-1.24,0.66,0.31,0.96,0.66,0.79,0.41,0.24,0.26,1.3,1.2,0.07,-0.15,-0.05,-2.2,-0.79,-0.01,1.22,2.74,1.04,0.53,1.23,0.41,0.43,1.46,0.83,0.56,0.43,1.52,1.84,0.24,0.26,-0.71,-0.61,0.15,0.16,0.45,0.56,0.6,0.19,-0.11,0.09,0.24,0.0,0.45,0.87,-0.54,-3.64,-0.52,-0.04,-1.57,-6.93,0.61,-1.56,-0.09,-0.17,1.12
P(male_age_high_edu_very_high|C),-1.15,-1.4,0.41,0.26,-0.04,0.42,0.52,0.33,0.31,0.47,8.04,-0.16,0.32,1.53,0.5,-9.43,-0.24,0.23,0.06,0.02,-0.41,4.82,-0.18,0.72,0.73,6.04,1.54,0.15,0.06,0.38,0.37,0.53,0.58,-1.06,-0.85,0.11,0.14,0.16,0.21,0.15,0.16,0.05,0.4,0.27,0.34,0.0,0.37,-1.91,1.67,-0.14,0.61,-0.3,3.13,0.42,-9.02,0.16,0.12,0.38
P(female_age_high_edu_very_high|C),-1.07,-4.26,0.89,0.71,1.34,0.76,1.07,0.79,0.77,1.23,4.35,0.18,1.34,-16.05,1.51,0.17,6.35,0.65,0.12,0.03,-0.55,9.15,-0.34,1.23,1.29,5.76,2.48,0.82,0.64,0.83,0.83,1.02,0.99,-2.96,-1.56,0.24,0.3,0.28,0.31,0.4,0.28,-0.03,0.69,0.29,0.55,0.25,0.0,-1.14,0.66,-0.16,9.96,-1.29,0.54,0.66,0.97,1.05,0.57,0.5
