gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_total,black_total,asian_total,aian_total,nhpi_total,other_total,multi_total,male_age_low_edu_low,female_age_low_edu_low,male_age_low_edu_mid,female_age_low_edu_mid,male_age_low_edu_high,female_age_low_edu_high,male_age_low_edu_very_high,female_age_low_edu_very_high,male_age_mid_edu_low,female_age_mid_edu_low,male_age_mid_edu_mid,female_age_mid_edu_mid,male_age_mid_edu_high,female_age_mid_edu_high,male_age_mid_edu_very_high,female_age_mid_edu_very_high,male_age_high_edu_low,female_age_high_edu_low,male_age_high_edu_mid,female_age_high_edu_mid,male_age_high_edu_high,female_age_high_edu_high,male_age_high_edu_very_high,female_age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G0100790,2008,ALABAMA,Lawrence County,34235,690.678,598,566,33669,13412,939,1977,9329,1167,15900,14473,1407,20,11178,40516,19370,4630,26727,3842,70,1794,0,179,1623,286,198,414,431,259,241,60,73,825,1009,932,714,339,346,202,98,325,522,297,381,65,48,47,70,2647,5824,16711,571,1919,5164,9277,239,19555
G0100810,2008,ALABAMA,Lee County,135010,607.536,4062,6634,128376,54016,4181,7171,35969,6695,68545,61882,5665,998,39400,40894,22794,24966,98194,30775,3417,502,156,494,1472,733,689,2229,2162,2059,2176,797,1303,1369,1260,2526,2766,2139,2447,2335,1958,632,1469,874,1197,721,679,908,462,10063,43097,49212,2522,4800,21498,32230,597,80685
G0100830,2008,ALABAMA,Limestone County,78614,559.936,3917,2776,75838,30028,1748,3773,22501,2006,37216,34257,2777,182,24544,46682,24007,10158,65164,10043,797,480,3,1111,1016,859,500,1212,1250,905,1057,141,189,1181,944,1978,2140,1543,1375,850,669,722,985,797,813,391,416,373,304,7577,14210,36027,1534,3594,9536,23598,417,45063
G0100850,2008,ALABAMA,Lowndes County,11731,715.911,106,35,11696,4205,436,672,2339,758,4915,4202,710,3,4311,29714,16524,3163,3020,8566,3,31,0,43,68,148,124,69,120,74,20,25,4,200,274,276,400,155,117,44,69,109,254,66,73,52,58,43,73,1077,3670,3496,374,740,5449,1809,20,4453
G0100870,2008,ALABAMA,Macon County,21699,608.885,139,100,21599,7969,771,1431,4370,1397,9308,7986,1266,56,8321,27544,16380,5141,3269,18038,2,45,0,16,329,212,111,186,368,160,227,41,58,279,286,561,582,215,268,262,452,247,383,202,196,117,144,182,282,1978,7949,5637,784,1567,9450,1396,31,10822
G0100890,2008,ALABAMA,Madison County,323080,801.593,13034,17792,305288,126564,5723,13158,98519,9164,171163,154996,13595,2572,83492,55851,29918,37679,225860,76057,7867,1894,320,2810,8272,1894,2015,5377,4996,5006,5702,1879,2331,2888,3059,7764,9765,11251,10016,7869,5681,1308,2985,3022,4709,3742,2747,3386,1303,30389,73453,134854,6009,14846,64117,86965,1817,170181
G0100910,2008,ALABAMA,Marengo County,21296,976.882,72,61,21235,8494,751,1412,4904,1427,8482,7524,929,29,8009,32940,18323,4714,9762,11309,0,32,0,34,159,173,106,194,110,75,310,40,71,384,309,451,705,391,337,123,163,241,382,229,305,182,124,37,70,2139,5135,7506,590,1576,5926,5516,29,9825
G0100930,2008,ALABAMA,Marion County,30792,742.292,587,448,30344,12744,1092,2566,7695,1391,13682,12584,1084,14,11177,32769,19030,5345,28844,892,258,58,0,317,423,308,365,499,275,133,98,6,113,775,816,726,892,242,147,113,204,400,778,267,279,114,50,74,110,3212,4835,14577,503,2234,2600,9536,219,18437
G0100950,2008,ALABAMA,Marshall County,90867,565.842,9891,6768,84099,34433,3192,5131,22420,3690,41812,39115,2654,43,28579,37661,19875,17913,85322,1471,469,705,58,1609,1233,1299,896,1141,1244,327,527,99,240,1462,1114,2561,2730,1202,1047,811,800,898,1641,818,944,699,238,379,189,9140,15510,39898,1472,5810,7038,25727,401,57701
G0100970,2008,ALABAMA,Mobile County,408620,1229.435,8854,13024,395596,153302,11183,19245,104903,17971,193846,174321,18695,830,123317,40996,21548,76987,250336,140847,7393,3033,99,2071,4841,3523,3304,5835,7622,3325,5383,1011,1470,6521,5427,10202,11489,6289,7514,3495,4793,3409,5888,3333,4595,2360,2030,1753,1473,40441,98124,151393,9920,23346,82181,98049,1194,227196
G0100990,2008,ALABAMA,Monroe County,23329,1025.675,248,307,23022,9191,932,1264,5396,1599,9731,8708,1017,6,8383,30235,17652,5863,12981,9474,101,293,0,116,364,122,151,221,296,0,44,0,82,617,473,540,566,359,300,76,129,307,547,248,171,111,106,34,18,2407,4760,8952,666,1659,5025,6175,52,12077
G0101010,2008,ALABAMA,Montgomery County,228018,784.247,7177,8995,219023,88772,6841,10576,63122,8233,112883,102224,8757,1902,64252,43725,24622,41324,95733,122759,4321,767,78,1751,2609,1987,2144,3656,4115,2667,3808,1111,1344,2395,2537,5069,6847,5076,5504,4043,4021,1549,2562,1865,2994,1589,1576,1708,1495,23438,63910,76296,5263,12085,62166,42031,546,123275
G0101030,2008,ALABAMA,Morgan County,117632,579.337,7987,5946,111686,46375,2646,6733,33218,3778,57598,52500,4899,199,34606,44349,23090,17351,97135,13893,762,1077,54,2788,1923,969,998,1972,1978,882,1082,355,412,1608,1619,3578,3798,2396,1953,998,1362,746,1457,1471,1807,859,604,412,316,11454,21658,52881,1929,6308,13895,36014,633,67090
G0101050,2008,ALABAMA,Perry County,10684,719.664,124,12,10672,3828,391,742,1952,743,3957,3325,606,26,4400,25950,13433,2807,3176,7368,0,24,0,0,116,117,55,7,155,195,35,0,0,157,237,117,342,76,116,72,87,172,151,59,99,33,66,70,35,566,3536,3222,360,771,4457,1679,23,4525
G0101070,2008,ALABAMA,Pickens County,19917,881.408,225,90,19827,8008,967,1342,4301,1398,8436,7246,1190,0,7306,28280,16278,5317,11332,8400,4,14,0,24,143,58,115,225,441,50,131,7,18,283,434,577,553,216,344,144,173,237,388,207,239,70,63,25,10,1832,4405,7612,660,1470,4594,5434,39,9850
G0101090,2008,ALABAMA,Pike County,32147,672.094,705,1244,30903,13013,1150,2109,7300,2454,15642,14143,1428,71,10625,29181,19013,8865,18967,11663,606,269,0,159,483,236,326,453,321,456,519,78,186,295,634,581,694,403,380,422,352,209,417,225,335,196,142,200,142,2475,10363,10977,1061,1729,5879,8004,72,18192
G0101110,2008,ALABAMA,Randolph County,22817,580.55,563,353,22464,8529,820,1251,5569,889,10019,8944,1046,29,8015,34593,19844,4706,17609,4781,0,76,0,68,283,162,152,213,206,9,104,32,47,556,488,550,723,238,220,131,247,398,433,219,214,83,148,112,55,1954,4603,9529,738,1573,3064,7175,145,12433
G0101130,2008,ALABAMA,Russell County,51663,641.14,1734,786,50877,20174,1688,3649,12294,2543,24141,20656,2706,779,15726,32481,17415,11856,28082,21484,186,106,20,442,1343,534,442,1021,947,324,557,0,189,818,890,1322,1588,455,515,259,234,330,1036,451,427,160,188,77,162,6010,12368,16932,2053,3417,10085,8705,125,32748
G0101170,2008,ALABAMA,Shelby County,187880,784.93,9750,10597,177283,71759,2072,5665,61330,2692,101237,95469,5603,165,43627,68380,33978,13681,158707,19271,3567,551,0,3960,1824,879,860,3374,3181,3717,5041,1008,1605,1269,1054,4736,6241,7501,5694,3562,3471,637,1261,1776,2258,1885,912,1205,581,15030,33981,89508,1716,7194,20625,69060,958,97237
G0101150,2008,ALABAMA,St. Clair County,80658,631.902,1586,1569,79089,29574,2006,3261,22280,2027,38302,35338,2730,234,25235,48837,22192,8283,72052,6906,386,315,7,156,836,902,640,1475,1652,719,717,150,293,1331,1103,2320,2435,950,1111,453,713,821,1435,905,662,303,328,167,90,8424,13875,36442,1180,4863,6091,27649,348,46570
G0101190,2008,ALABAMA,Sumter County,13871,903.887,101,14,13857,4952,600,634,2504,1214,6406,5341,1065,0,4525,25338,14460,4777,3381,10197,0,0,0,195,98,92,17,108,195,117,88,1,51,227,228,254,349,90,146,159,157,82,309,84,79,31,64,29,14,847,5363,3474,542,1020,5264,1731,25,6851
G0101210,2008,ALABAMA,Talladega County,82347,736.775,1567,1526,80821,31151,2231,4637,20351,3932,36820,32482,4224,114,28433,36948,18713,14395,54116,26278,349,216,0,675,713,1187,727,1054,1395,332,582,50,177,1650,1750,2248,2451,940,671,482,707,668,1557,728,666,391,160,266,282,8592,17414,33166,2207,4999,13779,20112,313,48143
G0101230,2008,ALABAMA,Tallapoosa County,41534,716.521,887,638,40896,16282,1493,2741,10646,1402,19568,17707,1861,0,13780,36904,22542,7161,29573,11095,22,34,0,225,585,511,521,498,461,181,335,94,181,795,813,1212,1361,696,510,323,412,375,726,430,580,397,202,175,197,3849,8190,17984,858,3052,6063,13116,132,22223
G0101250,2008,ALABAMA,Tuscaloosa County,188331,1321.755,5214,6237,182094,69175,4799,8324,46956,9096,91943,85887,5920,136,60164,42311,22546,35646,126696,56014,1971,514,94,1333,1709,1401,825,3014,3398,2365,3109,933,1437,2257,2017,3853,4777,2706,3102,2157,2831,1208,1940,1306,1926,932,956,769,1070,15778,60540,66686,2559,8587,32796,45405,711,109419
G0101270,2008,ALABAMA,Walker County,67612,791.192,1237,724,66888,25800,2205,4150,16970,2475,28840,25437,3351,52,25214,37191,20516,12407,62143,4082,159,198,28,67,935,534,510,952,1696,326,249,50,181,1281,1280,1932,2257,531,525,501,531,752,1523,606,737,245,107,194,174,7197,11829,28783,1892,5270,7420,20722,510,38960
G0101290,2008,ALABAMA,Washington County,17556,1080.207,132,86,17470,6672,594,1215,3963,900,7209,6467,742,0,6289,36431,18824,3372,11466,4468,61,1374,56,0,131,62,143,232,294,74,11,0,33,312,368,304,589,125,232,56,119,126,294,121,112,68,60,38,50,1229,2956,8002,436,1212,3067,5654,54,8781
G0101310,2008,ALABAMA,Wilcox County,12012,888.498,33,38,11974,3732,418,787,1700,827,3232,2532,700,0,5941,23491,12573,4328,3229,8763,0,0,0,0,20,196,20,125,35,54,27,66,0,242,283,268,312,249,179,11,49,132,152,45,65,90,71,12,27,899,4060,3052,516,762,4612,1868,14,5518
G0101330,2008,ALABAMA,Winston County,24687,612.979,618,370,24317,9478,968,1661,5796,1053,10406,9594,801,11,9555,33685,18055,4921,23904,75,28,70,0,112,498,254,307,279,339,136,47,21,12,624,649,696,777,266,109,238,335,212,618,263,272,22,134,157,110,2928,3786,11560,409,1505,1757,8103,171,14656
G0200200,2008,ALASKA,Anchorage Municipality,284267,1704.683,20983,26273,257994,104315,3141,6435,91478,3261,163188,143069,11395,8724,55370,73004,34678,21945,192878,15228,20873,18360,5042,5492,26394,1129,1120,7357,6604,4468,5445,1385,1327,1221,1504,10019,9991,7611,8306,6202,4804,613,884,2149,2577,1321,1449,1414,1013,27325,70903,112931,4346,7495,2474,2536,128,279129
G0400010,2008,ARIZONA,Apache County,70312,11197.521,4210,1154,69158,18859,1935,2687,10441,3796,22305,18833,3472,0,28345,30184,12294,23863,16895,179,226,51339,61,821,791,494,368,1029,884,204,212,44,51,1010,1117,1969,2150,499,1015,271,411,394,367,401,534,235,89,204,220,3956,23524,19818,1159,3537,15390,8551,321,46050
G0400030,2008,ARIZONA,Cochise County,129268,6165.69,41087,15855,113413,48935,2867,5993,35931,4144,57260,48973,4068,4219,45491,44876,23010,19351,107638,4939,2486,1381,365,7173,5286,623,643,2956,2536,1133,1299,222,360,1153,1165,4366,4851,2747,2604,2144,1481,831,1533,2377,2762,1111,798,1247,504,13176,26476,56946,2092,6059,18943,29026,851,80448
G0400050,2008,ARIZONA,Coconino County,131824,18618.885,17334,7484,124340,45478,2739,4794,34115,3830,69354,64410,4834,110,34339,49510,22632,23048,81677,1417,1978,35894,220,7055,3583,622,515,2453,2597,1699,1944,558,749,1043,1253,4175,4199,2871,2704,2228,2751,516,537,875,1184,811,574,959,821,10328,43262,46202,1989,3828,31433,22186,725,77480
G0400070,2008,ARIZONA,Gila County,53272,4757.933,9344,1669,51603,19704,1505,3019,13262,1918,19865,18489,1376,0,23381,37580,19600,9923,41791,136,70,7821,85,2130,1239,666,297,350,361,193,92,41,151,793,540,2214,2806,873,674,615,594,643,799,1320,1551,882,364,557,301,6399,10549,22407,627,3813,7884,14095,354,30939
G0400090,2008,ARIZONA,Graham County,36030,4622.597,10727,1787,34243,10822,775,1558,7332,1157,13652,12306,1337,9,13190,41683,15644,6425,25172,813,193,5373,52,3664,763,514,316,697,569,286,165,56,34,369,362,1173,1139,385,376,303,158,243,369,432,470,160,142,257,207,3600,9148,12598,849,1449,3487,8376,144,24023
G0400110,2008,ARIZONA,Greenlee County,8318,1843.126,3821,367,7951,3327,163,375,2523,266,3951,3490,461,0,2157,48696,21281,1116,6866,24,69,214,14,868,263,54,11,218,156,95,78,0,18,40,49,397,350,88,115,44,54,52,74,146,103,8,16,4,4,868,1659,3320,58,402,1165,1712,36,5405
G0400120,2008,ARIZONA,La Paz County,20549,4499.629,4649,2499,18050,10158,965,1919,6312,962,7633,7064,543,26,9645,32147,21165,4093,14481,211,164,2444,16,2876,357,190,226,287,171,56,23,0,2,380,271,995,1027,107,170,125,93,394,277,821,628,253,149,168,89,2341,3034,10204,506,1452,1929,3509,114,14997
G0400130,2008,ARIZONA,Maricopa County,3751410,9200.143,1087987,596802,3154608,1382002,60559,133156,1104279,84008,1879315,1740825,132659,5831,975211,55054,27816,515030,3018608,177978,124763,68540,7588,260734,93199,29232,25889,66952,65953,52099,59538,17722,22402,24621,24828,103311,121577,85261,77044,54417,48193,14271,21118,43815,59930,34930,28951,28552,16632,334823,907521,1471869,48567,147551,602166,746448,16348,2386448
