,P(C),P(house_in_C),P(area_in_C),median_household_income,per_capita_income,population_density,P(income_10k_to_15k|house_in_C),P(income_15k_to_25k|house_in_C),P(income_25k_plus|house_in_C),P(income_less_than_10k|house_in_C),P(poverty|C),P(hispanic|C),P(nativity_native|C),P(labor_16_plus_employed|C),P(labor_16_plus_unemployed|C),P(labor_16_plus_armed_forces|C),P(labor_16_plus_not_in_force|C),P(white_male|C),P(white_female|C),P(black_male|C),P(black_female|C),P(asian_male|C),P(asian_female|C),P(aian_male|C),P(aian_female|C),P(nhpi_male|C),P(nhpi_female|C),P(other_male|C),P(other_female|C),P(multi_male|C),P(multi_female|C),P(age_low_edu_low|C),P(age_low_edu_mid|C),P(age_low_edu_high|C),P(age_low_edu_very_high|C),P(age_mid_edu_low|C),P(age_mid_edu_mid|C),P(age_mid_edu_high|C),P(age_mid_edu_very_high|C),P(age_high_edu_low|C),P(age_high_edu_mid|C),P(age_high_edu_high|C),P(age_high_edu_very_high|C),P(marital_divorced|C),P(marital_single|C),P(marital_married|C),P(marital_separated|C),P(marital_widowed|C),race_sex_diversity,P(democrat_voter|C),P(republican_voter|C),P(other_voter|C),P(non_voter|C),log_odds_dem_rep
P(poverty|C),-0.069,-0.074,0.009,-0.74,-0.691,-0.009,0.719,0.652,-0.861,0.837,1.0,-0.065,0.143,-0.698,0.45,-0.117,0.553,-0.369,-0.308,0.294,0.301,-0.149,-0.198,0.009,0.006,-0.075,-0.059,-0.005,-0.03,-0.038,-0.043,0.489,0.095,-0.462,-0.259,0.601,-0.297,-0.565,-0.32,0.449,-0.2,-0.355,-0.214,0.273,0.255,-0.542,0.516,0.291,0.279,-0.111,-0.285,-0.416,0.441,0.037
P(hispanic|C),0.195,0.183,0.251,0.049,-0.045,0.087,-0.014,-0.032,0.019,-0.003,0.101,1.0,-0.827,0.088,0.041,0.128,-0.262,-0.373,-0.424,0.139,0.14,0.365,0.352,0.295,0.271,0.286,0.28,0.814,0.813,0.483,0.463,0.198,0.24,0.166,0.112,-0.121,0.031,0.15,0.108,-0.32,0.016,0.151,0.11,-0.135,0.176,-0.192,0.115,-0.363,0.53,-0.076,-0.271,-0.105,0.311,0.056
P(nativity_native|C),-0.495,-0.493,-0.149,-0.36,-0.296,-0.336,0.232,0.268,-0.252,0.154,0.068,-0.684,1.0,-0.214,-0.077,-0.233,0.327,0.391,0.407,-0.219,-0.238,-0.591,-0.578,-0.205,-0.189,-0.345,-0.349,-0.738,-0.738,-0.431,-0.424,-0.098,-0.173,-0.335,-0.307,0.204,0.065,-0.299,-0.311,0.393,0.09,-0.227,-0.258,0.197,-0.292,0.201,-0.082,0.456,-0.54,-0.128,0.369,0.05,-0.204,-0.24
P(labor_16_plus_employed|C),0.145,0.157,-0.028,0.654,0.707,0.097,-0.603,-0.61,0.723,-0.642,-0.671,-0.06,-0.154,1.0,-0.399,0.129,-0.834,0.264,0.273,-0.297,-0.226,0.251,0.303,-0.03,0.018,0.095,0.1,0.035,0.093,0.044,0.098,-0.533,-0.034,0.65,0.426,-0.68,0.152,0.64,0.41,-0.556,0.053,0.328,0.224,-0.382,-0.084,0.353,-0.547,-0.387,-0.205,0.227,0.127,0.451,-0.411,0.106
P(labor_16_plus_unemployed|C),0.125,0.129,0.009,-0.236,-0.256,0.085,0.24,0.224,-0.333,0.379,0.477,0.037,-0.078,-0.394,1.0,0.124,0.204,-0.401,-0.329,0.368,0.381,0.172,0.143,-0.004,0.003,0.12,0.143,0.108,0.094,0.133,0.141,0.309,0.171,-0.142,0.034,0.359,-0.152,-0.239,0.024,0.214,-0.255,-0.196,0.008,0.222,0.374,-0.454,0.409,-0.026,0.36,0.243,-0.393,-0.222,0.222,0.34
P(labor_16_plus_armed_forces|C),0.025,0.024,0.006,0.061,0.02,0.001,-0.093,-0.09,0.081,-0.033,-0.046,0.036,-0.05,-0.101,0.016,1.0,-0.208,-0.228,-0.174,0.246,0.268,0.376,0.369,0.072,0.085,0.248,0.259,0.145,0.165,0.213,0.234,-0.007,0.215,0.307,0.339,-0.123,-0.032,0.202,0.306,-0.199,-0.133,0.062,0.173,-0.037,0.209,-0.131,0.067,-0.285,0.265,0.193,-0.198,0.026,0.035,0.227
P(labor_16_plus_not_in_force|C),-0.183,-0.189,-0.001,-0.622,-0.545,-0.095,0.577,0.598,-0.666,0.542,0.479,-0.099,0.262,-0.841,0.154,-0.126,1.0,-0.049,-0.057,0.187,0.105,-0.317,-0.354,-0.036,-0.081,-0.177,-0.18,-0.204,-0.259,-0.159,-0.214,0.335,-0.154,-0.625,-0.417,0.59,-0.015,-0.455,-0.278,0.628,0.16,-0.101,-0.015,0.47,0.004,-0.147,0.419,0.581,-0.015,-0.123,0.048,-0.276,0.127,-0.111
P(white_male|C),-0.225,-0.226,0.002,0.147,0.178,-0.168,-0.236,-0.143,0.321,-0.432,-0.479,-0.144,0.259,0.31,-0.453,-0.07,-0.081,1.0,0.835,-0.72,-0.751,-0.352,-0.294,-0.13,-0.118,-0.21,-0.209,-0.434,-0.412,-0.334,-0.34,-0.396,-0.245,-0.029,-0.145,-0.263,0.235,0.06,-0.084,-0.05,0.284,0.069,-0.046,0.076,-0.553,0.625,-0.501,0.13,-0.927,-0.244,0.508,0.447,-0.311,-0.382
P(white_female|C),-0.195,-0.194,-0.055,0.147,0.208,-0.149,-0.234,-0.138,0.314,-0.422,-0.451,-0.185,0.271,0.357,-0.416,-0.124,-0.142,0.939,1.0,-0.695,-0.644,-0.305,-0.232,-0.224,-0.176,-0.199,-0.175,-0.455,-0.416,-0.352,-0.315,-0.43,-0.255,0.004,-0.058,-0.236,0.165,0.069,0.001,0.023,0.261,0.068,0.016,0.095,-0.582,0.611,-0.461,0.208,-0.925,-0.21,0.498,0.399,-0.308,-0.352
P(black_male|C),0.062,0.066,-0.158,-0.26,-0.268,0.07,0.31,0.243,-0.4,0.462,0.415,-0.101,0.012,-0.386,0.358,0.073,0.277,-0.792,-0.803,1.0,0.897,0.294,0.207,-0.123,-0.157,0.116,0.104,0.235,0.188,0.081,0.054,0.404,0.209,-0.002,0.167,0.364,-0.287,-0.149,0.062,0.181,-0.376,-0.194,-0.001,0.033,0.575,-0.591,0.561,-0.051,0.714,0.203,-0.414,-0.497,0.273,0.307
P(black_female|C),0.085,0.09,-0.158,-0.244,-0.223,0.088,0.295,0.224,-0.386,0.458,0.435,-0.108,0.002,-0.311,0.382,0.065,0.178,-0.816,-0.787,0.962,1.0,0.312,0.248,-0.154,-0.16,0.124,0.129,0.23,0.214,0.07,0.08,0.335,0.191,0.038,0.204,0.332,-0.294,-0.101,0.109,0.174,-0.374,-0.171,0.026,-0.007,0.514,-0.549,0.531,-0.054,0.705,0.226,-0.392,-0.48,0.233,0.316
P(asian_male|C),0.492,0.496,0.03,0.444,0.418,0.311,-0.252,-0.315,0.273,-0.143,-0.142,0.159,-0.599,0.221,0.083,0.083,-0.241,-0.276,-0.262,0.021,0.037,1.0,0.794,0.117,0.124,0.399,0.394,0.361,0.374,0.34,0.356,-0.015,0.22,0.467,0.501,-0.258,-0.11,0.345,0.463,-0.368,-0.214,0.154,0.31,-0.128,0.416,-0.261,0.028,-0.451,0.455,0.317,-0.393,0.049,0.083,0.391
P(asian_female|C),0.496,0.499,0.039,0.462,0.438,0.317,-0.268,-0.33,0.292,-0.161,-0.161,0.152,-0.592,0.229,0.077,0.097,-0.251,-0.264,-0.246,0.003,0.022,0.978,1.0,0.126,0.151,0.399,0.401,0.328,0.366,0.347,0.375,-0.087,0.194,0.497,0.506,-0.307,-0.054,0.401,0.492,-0.398,-0.153,0.208,0.344,-0.125,0.34,-0.18,-0.039,-0.458,0.394,0.314,-0.33,0.119,0.024,0.364
P(aian_male|C),-0.041,-0.044,0.223,-0.1,-0.149,-0.027,0.09,0.048,-0.118,0.164,0.263,-0.011,0.066,-0.159,0.182,-0.013,-0.004,-0.301,-0.322,-0.096,-0.096,-0.043,-0.044,1.0,0.72,0.206,0.189,0.226,0.213,0.365,0.334,0.079,0.159,0.028,-0.054,-0.113,0.203,0.093,-0.002,-0.173,0.195,0.163,0.062,0.055,0.037,-0.049,-0.061,-0.152,0.266,-0.031,-0.095,0.132,0.103,0.018
P(aian_female|C),-0.039,-0.042,0.223,-0.098,-0.146,-0.026,0.089,0.048,-0.118,0.166,0.266,-0.017,0.067,-0.154,0.183,-0.014,-0.011,-0.304,-0.319,-0.096,-0.093,-0.042,-0.042,0.992,1.0,0.217,0.205,0.187,0.198,0.354,0.356,0.028,0.154,0.066,-0.015,-0.142,0.221,0.123,0.035,-0.177,0.214,0.183,0.074,0.045,-0.003,-0.018,-0.093,-0.143,0.237,-0.016,-0.068,0.168,0.065,0.019
P(nhpi_male|C),0.067,0.063,0.092,0.087,0.045,0.004,-0.066,-0.075,0.071,-0.043,-0.04,0.043,-0.138,0.014,0.013,0.1,-0.047,-0.117,-0.132,-0.037,-0.039,0.436,0.458,0.006,0.006,1.0,0.543,0.267,0.275,0.318,0.314,0.021,0.211,0.256,0.269,-0.167,0.008,0.182,0.257,-0.261,-0.055,0.115,0.182,-0.025,0.219,-0.161,0.023,-0.3,0.298,0.142,-0.249,0.082,0.105,0.207
P(nhpi_female|C),0.073,0.069,0.089,0.09,0.057,0.007,-0.067,-0.077,0.071,-0.041,-0.034,0.039,-0.135,0.027,0.016,0.084,-0.055,-0.124,-0.129,-0.044,-0.041,0.448,0.472,0.016,0.016,0.902,1.0,0.26,0.277,0.305,0.32,0.007,0.211,0.255,0.275,-0.16,0.003,0.19,0.257,-0.24,-0.052,0.119,0.189,-0.013,0.197,-0.145,0.02,-0.284,0.285,0.155,-0.241,0.084,0.09,0.212
P(other_male|C),0.23,0.219,0.185,0.084,-0.001,0.158,-0.046,-0.053,0.051,-0.031,0.05,0.715,-0.611,-0.031,0.055,0.033,-0.098,-0.272,-0.29,-0.014,-0.025,0.201,0.193,-0.015,-0.019,0.042,0.036,1.0,0.859,0.388,0.37,0.252,0.222,0.14,0.13,-0.023,-0.074,0.074,0.097,-0.233,-0.1,0.055,0.076,-0.121,0.239,-0.249,0.184,-0.334,0.575,-0.014,-0.332,-0.161,0.333,0.123
P(other_female|C),0.261,0.25,0.185,0.105,0.03,0.192,-0.065,-0.077,0.072,-0.042,0.047,0.716,-0.612,0.009,0.06,0.031,-0.148,-0.261,-0.267,-0.04,-0.034,0.216,0.215,-0.019,-0.021,0.04,0.039,0.94,1.0,0.394,0.396,0.18,0.218,0.182,0.164,-0.075,-0.047,0.122,0.129,-0.258,-0.07,0.09,0.099,-0.152,0.197,-0.207,0.139,-0.34,0.549,-0.003,-0.305,-0.128,0.289,0.121
P(multi_male|C),0.132,0.13,0.159,0.105,0.047,0.052,-0.067,-0.086,0.082,-0.058,0.004,0.308,-0.283,-0.025,0.063,0.13,-0.063,-0.213,-0.233,-0.11,-0.123,0.309,0.323,0.174,0.172,0.384,0.389,0.224,0.209,1.0,0.755,0.095,0.253,0.192,0.163,-0.126,0.077,0.167,0.206,-0.252,0.019,0.132,0.159,0.063,0.179,-0.186,0.049,-0.312,0.476,0.043,-0.258,0.05,0.193,0.13
P(multi_female|C),0.153,0.153,0.151,0.118,0.08,0.067,-0.079,-0.101,0.094,-0.061,0.006,0.288,-0.293,0.018,0.079,0.124,-0.115,-0.226,-0.216,-0.126,-0.119,0.331,0.345,0.176,0.176,0.381,0.391,0.211,0.208,0.877,1.0,0.038,0.249,0.227,0.205,-0.147,0.076,0.205,0.23,-0.253,0.028,0.151,0.173,0.04,0.138,-0.15,0.022,-0.315,0.462,0.068,-0.249,0.071,0.162,0.145
P(age_low_edu_low|C),-0.024,-0.033,0.017,-0.356,-0.461,-0.017,0.342,0.318,-0.409,0.39,0.429,0.252,-0.112,-0.534,0.247,-0.028,0.397,-0.366,-0.445,0.424,0.312,-0.08,-0.101,0.1,0.094,-0.011,-0.017,0.241,0.17,0.074,0.019,1.0,0.159,-0.355,-0.21,0.563,-0.228,-0.474,-0.301,0.256,-0.246,-0.359,-0.264,0.215,0.276,-0.477,0.514,0.04,0.401,-0.194,-0.288,-0.435,0.524,-0.025
P(age_low_edu_mid|C),0.093,0.092,0.107,0.001,-0.087,0.003,-0.061,-0.048,0.028,0.021,0.057,0.168,-0.092,-0.04,0.144,0.316,-0.148,-0.169,-0.2,0.104,0.092,0.074,0.073,0.047,0.047,0.082,0.073,0.162,0.148,0.203,0.188,0.1,1.0,0.103,0.105,0.014,0.068,-0.064,0.025,-0.159,-0.121,-0.158,-0.086,0.078,0.205,-0.283,0.134,-0.271,0.295,-0.048,-0.211,-0.084,0.267,0.056
P(age_low_edu_high|C),0.356,0.379,-0.008,0.575,0.632,0.316,-0.445,-0.513,0.491,-0.315,-0.367,0.022,-0.346,0.593,-0.115,0.15,-0.555,-0.02,-0.002,-0.087,-0.054,0.472,0.47,-0.085,-0.082,0.054,0.055,0.048,0.068,0.099,0.124,-0.3,0.1,1.0,0.589,-0.577,-0.027,0.588,0.519,-0.568,-0.125,0.269,0.304,-0.319,0.204,0.031,-0.308,-0.488,0.095,0.295,-0.13,0.278,-0.198,0.269
P(age_low_edu_very_high|C),0.377,0.405,-0.056,0.467,0.534,0.379,-0.305,-0.377,0.317,-0.147,-0.192,0.006,-0.371,0.396,0.015,0.087,-0.358,-0.137,-0.092,0.026,0.058,0.542,0.532,-0.091,-0.087,0.034,0.035,0.05,0.074,0.077,0.102,-0.207,0.039,0.712,1.0,-0.363,-0.159,0.418,0.544,-0.391,-0.247,0.154,0.323,-0.188,0.308,-0.122,-0.105,-0.413,0.176,0.305,-0.232,0.155,-0.07,0.315
P(age_mid_edu_low|C),-0.115,-0.123,-0.119,-0.545,-0.574,-0.042,0.539,0.507,-0.614,0.534,0.561,0.008,0.138,-0.639,0.337,-0.084,0.553,-0.305,-0.312,0.422,0.384,-0.21,-0.22,-0.013,-0.013,-0.067,-0.066,0.022,-0.003,-0.069,-0.088,0.5,-0.027,-0.495,-0.327,1.0,-0.258,-0.647,-0.417,0.623,-0.222,-0.447,-0.316,0.349,0.065,-0.317,0.59,0.346,0.185,-0.237,-0.099,-0.509,0.408,-0.138
P(age_mid_edu_mid|C),-0.113,-0.114,0.198,0.101,0.175,-0.113,-0.152,-0.101,0.208,-0.272,-0.293,-0.119,0.185,0.154,-0.159,-0.065,0.004,0.24,0.208,-0.218,-0.208,-0.144,-0.12,0.018,0.017,0.024,0.025,-0.103,-0.095,0.032,0.031,-0.236,0.017,-0.109,-0.227,-0.263,1.0,0.254,0.028,-0.068,0.62,0.363,0.141,0.165,-0.358,0.407,-0.251,0.113,-0.189,0.022,0.371,0.318,-0.397,-0.13
P(age_mid_edu_high|C),0.214,0.229,0.055,0.659,0.781,0.111,-0.495,-0.541,0.583,-0.462,-0.525,-0.053,-0.217,0.602,-0.233,-0.018,-0.418,0.109,0.13,-0.195,-0.158,0.324,0.339,-0.05,-0.049,0.05,0.056,-0.042,-0.015,0.058,0.087,-0.419,-0.108,0.565,0.424,-0.578,0.209,1.0,0.605,-0.501,0.255,0.634,0.529,-0.217,-0.002,0.295,-0.389,-0.284,0.0,0.372,0.091,0.41,-0.495,0.23
P(age_mid_edu_very_high|C),0.276,0.295,-0.01,0.6,0.703,0.192,-0.397,-0.457,0.434,-0.275,-0.331,-0.041,-0.29,0.418,-0.018,0.032,-0.284,-0.028,0.025,-0.074,-0.04,0.436,0.443,-0.079,-0.078,0.04,0.045,-0.007,0.015,0.086,0.109,-0.299,-0.056,0.563,0.627,-0.401,-0.029,0.683,1.0,-0.376,-0.005,0.425,0.601,-0.063,0.203,0.044,-0.164,-0.348,0.116,0.418,-0.134,0.273,-0.283,0.353
P(age_high_edu_low|C),-0.187,-0.191,-0.145,-0.549,-0.471,-0.079,0.514,0.535,-0.561,0.406,0.394,-0.2,0.324,-0.517,0.196,-0.117,0.57,-0.126,-0.097,0.284,0.279,-0.281,-0.287,-0.067,-0.065,-0.087,-0.084,-0.16,-0.169,-0.147,-0.147,0.207,-0.164,-0.518,-0.364,0.577,-0.062,-0.473,-0.389,1.0,0.031,-0.272,-0.229,0.331,-0.136,-0.054,0.382,0.614,-0.066,-0.166,0.131,-0.339,0.108,-0.182
P(age_high_edu_mid|C),-0.137,-0.136,0.199,-0.074,0.103,-0.112,-0.013,0.071,0.054,-0.181,-0.203,-0.066,0.161,0.019,-0.249,-0.089,0.208,0.29,0.285,-0.28,-0.268,-0.174,-0.154,-0.007,-0.008,-0.002,0.004,-0.08,-0.07,0.006,0.016,-0.232,-0.158,-0.187,-0.251,-0.22,0.587,0.19,-0.051,0.046,1.0,0.512,0.233,0.174,-0.458,0.472,-0.266,0.349,-0.265,-0.089,0.464,0.288,-0.393,-0.253
P(age_high_edu_high|C),0.048,0.058,0.134,0.251,0.464,0.011,-0.225,-0.214,0.277,-0.267,-0.311,-0.019,-0.085,0.226,-0.18,-0.049,0.014,0.133,0.152,-0.179,-0.156,0.091,0.11,-0.028,-0.03,0.046,0.046,-0.034,-0.023,0.041,0.053,-0.293,-0.18,0.167,0.095,-0.357,0.358,0.568,0.42,-0.197,0.542,1.0,0.587,-0.043,-0.112,0.314,-0.272,0.016,-0.027,0.274,0.182,0.343,-0.496,0.121
P(age_high_edu_very_high|C),0.113,0.128,0.067,0.292,0.485,0.084,-0.219,-0.232,0.245,-0.183,-0.224,-0.028,-0.147,0.188,-0.034,-0.016,0.035,0.044,0.085,-0.102,-0.078,0.19,0.203,-0.055,-0.056,0.033,0.038,-0.02,-0.008,0.058,0.077,-0.246,-0.128,0.258,0.295,-0.281,0.139,0.541,0.635,-0.211,0.283,0.688,1.0,0.069,0.113,0.093,-0.136,-0.103,0.072,0.366,-0.038,0.244,-0.33,0.276
P(marital_divorced|C),-0.105,-0.099,0.029,-0.339,-0.235,-0.084,0.263,0.32,-0.294,0.176,0.186,-0.152,0.248,-0.348,0.195,-0.065,0.452,0.116,0.1,-0.018,-0.056,-0.19,-0.18,-0.031,-0.034,-0.02,-0.016,-0.14,-0.158,0.054,0.038,0.158,0.04,-0.293,-0.213,0.301,0.181,-0.181,-0.097,0.288,0.169,0.036,0.095,1.0,-0.089,-0.165,0.208,0.269,-0.076,-0.09,0.019,-0.024,0.1,-0.085
P(marital_single|C),0.242,0.252,0.011,-0.061,-0.077,0.207,0.128,0.04,-0.21,0.352,0.334,0.127,-0.255,-0.113,0.378,0.077,0.066,-0.567,-0.606,0.532,0.488,0.305,0.277,0.123,0.119,0.045,0.039,0.15,0.127,0.096,0.073,0.284,0.178,0.3,0.408,0.077,-0.374,-0.011,0.224,-0.122,-0.438,-0.157,0.075,-0.114,1.0,-0.827,0.309,-0.282,0.578,0.452,-0.684,-0.181,0.24,0.607
P(marital_married|C),-0.162,-0.168,-0.008,0.321,0.375,-0.135,-0.35,-0.278,0.46,-0.534,-0.591,-0.191,0.177,0.388,-0.498,-0.057,-0.164,0.679,0.689,-0.607,-0.58,-0.143,-0.119,-0.216,-0.213,-0.027,-0.023,-0.181,-0.161,-0.125,-0.106,-0.462,-0.246,-0.022,-0.163,-0.332,0.41,0.305,0.059,-0.072,0.473,0.349,0.154,-0.158,-0.826,1.0,-0.526,0.09,-0.614,-0.196,0.664,0.361,-0.486,-0.411
P(marital_separated|C),0.031,0.028,-0.084,-0.39,-0.408,0.056,0.419,0.369,-0.501,0.494,0.517,0.143,-0.08,-0.537,0.388,0.033,0.414,-0.511,-0.518,0.589,0.563,-0.04,-0.055,-0.041,-0.043,-0.021,-0.026,0.132,0.096,0.031,0.01,0.481,0.112,-0.271,-0.115,0.568,-0.232,-0.368,-0.184,0.376,-0.243,-0.235,-0.149,0.165,0.299,-0.535,1.0,0.163,0.457,-0.053,-0.294,-0.508,0.4,0.078
P(marital_widowed|C),-0.222,-0.223,-0.11,-0.538,-0.34,-0.112,0.486,0.53,-0.509,0.311,0.257,-0.212,0.37,-0.364,-0.029,-0.162,0.535,0.041,0.085,0.099,0.105,-0.311,-0.312,-0.063,-0.06,-0.08,-0.075,-0.207,-0.212,-0.178,-0.177,0.025,-0.269,-0.485,-0.399,0.324,0.126,-0.29,-0.358,0.589,0.379,0.081,-0.063,0.242,-0.268,0.062,0.176,1.0,-0.258,-0.14,0.295,-0.154,-0.127,-0.224
race_sex_diversity,0.352,0.356,0.091,0.075,0.009,0.219,0.025,-0.048,-0.074,0.2,0.256,0.351,-0.51,-0.182,0.348,0.171,-0.027,-0.817,-0.807,0.559,0.558,0.445,0.436,0.18,0.18,0.172,0.171,0.457,0.445,0.438,0.442,0.341,0.272,0.176,0.267,0.164,-0.209,0.014,0.156,-0.05,-0.269,-0.069,0.037,-0.087,0.527,-0.578,0.419,-0.239,1.0,0.213,-0.537,-0.387,0.352,0.37
P(democrat_voter|C),0.223,0.243,-0.028,0.236,0.366,0.16,-0.103,-0.184,0.107,0.007,-0.035,-0.08,-0.138,0.206,0.248,-0.028,-0.109,-0.353,-0.315,0.312,0.349,0.287,0.289,0.01,0.012,0.032,0.039,-0.042,-0.028,-0.008,0.021,-0.145,-0.059,0.351,0.374,-0.18,-0.008,0.401,0.496,-0.141,-0.092,0.271,0.427,-0.053,0.468,-0.254,0.013,-0.127,0.232,1.0,-0.477,0.255,-0.467,0.926
