gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_male,white_female,black_male,black_female,asian_male,asian_female,aian_male,aian_female,nhpi_male,nhpi_female,other_male,other_female,multi_male,multi_female,age_low_edu_low,age_low_edu_mid,age_low_edu_high,age_low_edu_very_high,age_mid_edu_low,age_mid_edu_mid,age_mid_edu_high,age_mid_edu_very_high,age_high_edu_low,age_high_edu_mid,age_high_edu_high,age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G0101070,2008,ALABAMA,Pickens County,19917,881.408,225,90,19827,8008,967,1342,4301,1398,8436,7246,1190,0,7306,28280,16278,5317,5547,5785,3831,4569,0,4,3,11,0,0,11,13,45,98,173,666,181,25,717,1130,560,317,625,446,133,35,1832,4405,7612,660,1470,4594,5434,39,9850
G0101090,2008,ALABAMA,Pike County,32147,672.094,705,1244,30903,13013,1150,2109,7300,2454,15642,14143,1428,71,10625,29181,19013,8865,9189,9778,5262,6401,223,383,124,145,0,0,159,0,243,240,562,774,975,264,929,1275,783,774,626,560,338,342,2475,10363,10977,1061,1729,5879,8004,72,18192
G0101110,2008,ALABAMA,Randolph County,22817,580.55,563,353,22464,8529,820,1251,5569,889,10019,8944,1046,29,8015,34593,19844,4706,8729,8880,2245,2536,0,0,57,19,0,0,39,29,184,99,314,419,113,79,1044,1273,458,378,831,433,231,167,1954,4603,9529,738,1573,3064,7175,145,12433
G0101130,2008,ALABAMA,Russell County,51663,641.14,1734,786,50877,20174,1688,3649,12294,2543,24141,20656,2706,779,15726,32481,17415,11856,13804,14278,9839,11645,76,110,66,40,0,20,284,158,591,752,976,1968,881,189,1708,2910,970,493,1366,878,348,239,6010,12368,16932,2053,3417,10085,8705,125,32748
G0101170,2008,ALABAMA,Shelby County,187880,784.93,9750,10597,177283,71759,2072,5665,61330,2692,101237,95469,5603,165,43627,68380,33978,13681,77800,80907,8892,10379,1630,1937,274,277,0,0,2319,1641,1125,699,1739,6555,8758,2613,2323,10977,13195,7033,1898,4034,2797,1786,15030,33981,89508,1716,7194,20625,69060,958,97237
G0101150,2008,ALABAMA,St. Clair County,80658,631.902,1586,1569,79089,29574,2006,3261,22280,2027,38302,35338,2730,234,25235,48837,22192,8283,35752,36300,3754,3152,153,233,131,184,0,7,54,102,504,332,1542,3127,1436,443,2434,4755,2061,1166,2256,1567,631,257,8424,13875,36442,1180,4863,6091,27649,348,46570
G0101190,2008,ALABAMA,Sumter County,13871,903.887,101,14,13857,4952,600,634,2504,1214,6406,5341,1065,0,4525,25338,14460,4777,1611,1770,4563,5634,0,0,0,0,0,0,88,107,63,35,109,303,205,52,455,603,236,316,391,163,95,43,847,5363,3474,542,1020,5264,1731,25,6851
G0101210,2008,ALABAMA,Talladega County,82347,736.775,1567,1526,80821,31151,2231,4637,20351,3932,36820,32482,4224,114,28433,36948,18713,14395,26509,27607,12605,13673,117,232,139,77,0,0,404,271,351,362,1914,2449,914,227,3400,4699,1611,1189,2225,1394,551,548,8592,17414,33166,2207,4999,13779,20112,313,48143
G0101230,2008,ALABAMA,Tallapoosa County,41534,716.521,887,638,40896,16282,1493,2741,10646,1402,19568,17707,1861,0,13780,36904,22542,7161,14564,15009,5099,5996,0,22,11,23,0,0,119,106,259,326,1032,959,516,275,1608,2573,1206,735,1101,1010,599,372,3849,8190,17984,858,3052,6063,13116,132,22223
G0101250,2008,ALABAMA,Tuscaloosa County,188331,1321.755,5214,6237,182094,69175,4799,8324,46956,9096,91943,85887,5920,136,60164,42311,22546,35646,62911,63785,25531,30483,873,1098,316,198,17,77,715,618,843,866,2226,6412,5474,2370,4274,8630,5808,4988,3148,3232,1888,1839,15778,60540,66686,2559,8587,32796,45405,711,109419
G0101270,2008,ALABAMA,Walker County,67612,791.192,1237,724,66888,25800,2205,4150,16970,2475,28840,25437,3351,52,25214,37191,20516,12407,30284,31859,1886,2196,96,63,70,128,0,28,25,42,506,429,1044,2648,575,231,2561,4189,1056,1032,2275,1343,352,368,7197,11829,28783,1892,5270,7420,20722,510,38960
G0101290,2008,ALABAMA,Washington County,17556,1080.207,132,86,17470,6672,594,1215,3963,900,7209,6467,742,0,6289,36431,18824,3372,5725,5741,2356,2112,37,24,705,669,56,0,0,0,46,85,205,526,85,33,680,893,357,175,420,233,128,88,1229,2956,8002,436,1212,3067,5654,54,8781
G0101310,2008,ALABAMA,Wilcox County,12012,888.498,33,38,11974,3732,418,787,1700,827,3232,2532,700,0,5941,23491,12573,4328,1600,1629,4058,4705,0,0,0,0,0,0,0,0,0,20,216,160,81,66,525,580,428,60,284,110,161,39,899,4060,3052,516,762,4612,1868,14,5518
G0101330,2008,ALABAMA,Winston County,24687,612.979,618,370,24317,9478,968,1661,5796,1053,10406,9594,801,11,9555,33685,18055,4921,11788,12116,27,48,6,22,51,19,0,0,64,48,204,294,561,618,183,33,1273,1473,375,573,830,535,156,267,2928,3786,11560,409,1505,1757,8103,171,14656
G0200200,2008,ALASKA,Anchorage Municipality,284267,1704.683,20983,26273,257994,104315,3141,6435,91478,3261,163188,143069,11395,8724,55370,73004,34678,21945,100056,92822,7985,7243,9338,11535,8673,9687,2619,2423,2448,3044,12921,13473,2249,13961,9913,2712,2725,20010,15917,11006,1497,4726,2770,2427,27325,70903,112931,4346,7495,2474,2536,128,279129
G0400010,2008,ARIZONA,Apache County,70312,11197.521,4210,1154,69158,18859,1935,2687,10441,3796,22305,18833,3472,0,28345,30184,12294,23863,8432,8463,154,25,120,106,25218,26121,41,20,581,240,494,297,862,1913,416,95,2127,4119,1514,682,761,935,324,424,3956,23524,19818,1159,3537,15390,8551,321,46050
G0400030,2008,ARIZONA,Cochise County,129268,6165.69,41087,15855,113413,48935,2867,5993,35931,4144,57260,48973,4068,4219,45491,44876,23010,19351,54748,52890,3043,1896,969,1517,710,671,158,207,3490,3683,2611,2675,1266,5492,2432,582,2318,9217,5351,3625,2364,5139,1909,1751,13176,26476,56946,2092,6059,18943,29026,851,80448
G0400050,2008,ARIZONA,Coconino County,131824,18618.885,17334,7484,124340,45478,2739,4794,34115,3830,69354,64410,4834,110,34339,49510,22632,23048,41204,40473,793,624,917,1061,17302,18592,152,68,3315,3740,1762,1821,1137,5050,3643,1307,2296,8374,5575,4979,1053,2059,1385,1780,10328,43262,46202,1989,3828,31433,22186,725,77480
G0400070,2008,ARIZONA,Gila County,53272,4757.933,9344,1669,51603,19704,1505,3019,13262,1918,19865,18489,1376,0,23381,37580,19600,9923,20803,20988,92,44,34,36,3771,4050,34,51,1037,1093,630,609,963,711,285,192,1333,5020,1547,1209,1442,2871,1246,858,6399,10549,22407,627,3813,7884,14095,354,30939
G0400090,2008,ARIZONA,Graham County,36030,4622.597,10727,1787,34243,10822,775,1558,7332,1157,13652,12306,1337,9,13190,41683,15644,6425,13092,12080,634,179,65,128,2775,2598,29,23,2246,1418,428,335,830,1266,451,90,731,2312,761,461,612,902,302,464,3600,9148,12598,849,1449,3487,8376,144,24023
G0400110,2008,ARIZONA,Greenlee County,8318,1843.126,3821,367,7951,3327,163,375,2523,266,3951,3490,461,0,2157,48696,21281,1116,3657,3209,21,3,22,47,128,86,14,0,481,387,93,170,65,374,173,18,89,747,203,98,126,249,24,8,868,1659,3320,58,402,1165,1712,36,5405
G0400120,2008,ARIZONA,La Paz County,20549,4499.629,4649,2499,18050,10158,965,1919,6312,962,7633,7064,543,26,9645,32147,21165,4093,7464,7017,111,100,87,77,1125,1319,16,0,1664,1212,147,210,416,458,79,2,651,2022,277,218,671,1449,402,257,2341,3034,10204,506,1452,1929,3509,114,14997
G0400130,2008,ARIZONA,Maricopa County,3751410,9200.143,1087987,596802,3154608,1382002,60559,133156,1104279,84008,1879315,1740825,132659,5831,975211,55054,27816,515030,1498338,1520270,90745,87233,59426,65337,32648,35892,4010,3578,130411,130323,45090,48109,55121,132905,111637,40124,49449,224888,162305,102610,35389,103745,63881,45184,334823,907521,1471869,48567,147551,602166,746448,16348,2386448
G0400150,2008,ARIZONA,Mohave County,199177,13311.084,28650,12709,186468,80361,5748,11015,57612,5986,84596,75389,9097,110,77229,39785,21523,31502,89747,89793,1192,662,752,1180,1909,1520,169,141,2876,2642,3232,3362,2671,4955,1663,457,5669,19341,4870,2660,6530,11884,2923,1851,24276,34598,88716,4161,12500,22092,44333,1180,131572
G0400170,2008,ARIZONA,Navajo County,107060,9950.422,11235,2806,104254,35366,2337,4788,23817,4424,42280,36993,5228,59,35863,39774,16745,25493,26240,25449,582,287,173,208,22177,23882,81,47,2578,1808,1530,2018,1493,2840,931,315,3163,7470,2816,1828,1416,3311,963,784,8243,26590,39549,1618,4355,15579,19761,460,71260
G0400190,2008,ARIZONA,Pima County,964462,9187.036,324303,127491,836971,381880,23090,46305,280927,31558,466079,423298,36840,5941,300971,45521,25093,154259,356761,372239,18390,14939,11652,13456,14629,16160,712,571,56638,58013,14652,15650,12241,34833,23478,9783,15887,63759,45610,34120,11262,32908,22275,20129,99444,245472,372455,15240,46798,206254,182406,4768,571034
G0400210,2008,ARIZONA,Pinal County,329297,5365.612,95091,34601,294696,118826,5215,12905,93174,7532,136547,125577,10490,480,115469,51310,21716,40804,126279,116377,8082,5754,2755,2887,9850,8111,1081,249,19916,17391,5466,5099,5856,14075,6814,1931,6875,22027,8417,5012,4335,10602,5213,3832,29230,65349,144322,4137,12603,44254,59421,1208,224414
G0400230,2008,ARIZONA,Santa Cruz County,46051,1236.916,37762,15437,30614,12078,816,1949,8004,1309,18730,16540,2184,6,14808,36519,16209,11519,16732,17295,84,85,59,68,148,257,17,34,5181,5482,182,427,434,1009,497,164,1801,1640,1435,688,688,875,850,611,2910,10710,17616,739,2453,8683,4518,102,32748
